Person ID,Name,First name,Last name,Party,Constituency,URI
25316,Michelle Donelan,Michelle,Donelan,Conservative,Chippenham,https://www.theyworkforyou.com/mp/25316/michelle_donelan/chippenham
11397,Nadine Dorries,Nadine,Dorries,Conservative,Mid Bedfordshire,https://www.theyworkforyou.com/mp/11397/nadine_dorries/mid_bedfordshire
25410,Steve Double,Steve,Double,Conservative,St Austell and Newquay,https://www.theyworkforyou.com/mp/25410/steve_double/st_austell_and_newquay
25166,Stephen Doughty,Stephen,Doughty,Labour/Co-operative,Cardiff South and Penarth,https://www.theyworkforyou.com/mp/25166/stephen_doughty/cardiff_south_and_penarth
25309,Peter Dowd,Peter,Dowd,Labour,Bootle,https://www.theyworkforyou.com/mp/25309/peter_dowd/bootle
25323,Oliver Dowden,Oliver,Dowden,Conservative,Hertsmere,https://www.theyworkforyou.com/mp/25323/oliver_dowden/hertsmere
24957,Jackie Doyle-Price,Jackie,Doyle-Price,Conservative,Thurrock,https://www.theyworkforyou.com/mp/24957/jackie_doyle-price/thurrock
24903,Richard Drax,Richard,Drax,Conservative,South Dorset,https://www.theyworkforyou.com/mp/24903/richard_drax/south_dorset
10177,David Drew,David,Drew,Labour/Co-operative,Stroud,https://www.theyworkforyou.com/mp/10177/david_drew/stroud
24825,Jack Dromey,Jack,Dromey,Labour,"Birmingham, Erdington",https://www.theyworkforyou.com/mp/24825/jack_dromey/birmingham%2C_erdington
11785,James Duddridge,James,Duddridge,Conservative,Rochford and Southend East,https://www.theyworkforyou.com/mp/11785/james_duddridge/rochford_and_southend_east
25656,Rosie Duffield,Rosie,Duffield,Labour,Canterbury,https://www.theyworkforyou.com/mp/25656/rosie_duffield/canterbury
25664,David Duguid,David,Duguid,Conservative,Banff and Buchan,https://www.theyworkforyou.com/mp/25664/david_duguid/banff_and_buchan
10179,Alan Duncan,Alan,Duncan,Conservative,Rutland and Melton,https://www.theyworkforyou.com/mp/10179/alan_duncan/rutland_and_melton
10180,Iain Duncan Smith,Iain,Duncan Smith,Conservative,Chingford and Woodford Green,https://www.theyworkforyou.com/mp/10180/iain_duncan_smith/chingford_and_woodford_green
11696,Philip Dunne,Philip,Dunne,Conservative,Ludlow,https://www.theyworkforyou.com/mp/11696/philip_dunne/ludlow
10182,Angela Eagle,Angela,Eagle,Labour,Wallasey,https://www.theyworkforyou.com/mp/10182/angela_eagle/wallasey
10183,Maria Eagle,Maria,Eagle,Labour,Garston and Halewood,https://www.theyworkforyou.com/mp/10183/maria_eagle/garston_and_halewood
24743,Jonathan Edwards,Jonathan,Edwards,Plaid Cymru,Carmarthen East and Dinefwr,https://www.theyworkforyou.com/mp/24743/jonathan_edwards/carmarthen_east_and_dinefwr
10185,Clive Efford,Clive,Efford,Labour,Eltham,https://www.theyworkforyou.com/mp/10185/clive_efford/eltham
24710,Julie Elliott,Julie,Elliott,Labour,Sunderland Central,https://www.theyworkforyou.com/mp/24710/julie_elliott/sunderland_central
24866,Michael Ellis,Michael,Ellis,Conservative,Northampton North,https://www.theyworkforyou.com/mp/24866/michael_ellis/northampton_north
10186,Louise Ellman,Louise,Ellman,Labour/Co-operative,"Liverpool, Riverside",https://www.theyworkforyou.com/mp/10186/louise_ellman/liverpool%2C_riverside
11437,Tobias Ellwood,Tobias,Ellwood,Conservative,Bournemouth East,https://www.theyworkforyou.com/mp/11437/tobias_ellwood/bournemouth_east
25490,Chris Elmore,Chris,Elmore,Labour,Ogmore,https://www.theyworkforyou.com/mp/25490/chris_elmore/ogmore
24777,Charlie Elphicke,Charlie,Elphicke,Conservative,Dover,https://www.theyworkforyou.com/mp/24777/charlie_elphicke/dover
24905,Bill Esterson,Bill,Esterson,Labour,Sefton Central,https://www.theyworkforyou.com/mp/24905/bill_esterson/sefton_central
24933,George Eustice,George,Eustice,Conservative,Camborne and Redruth,https://www.theyworkforyou.com/mp/24933/george_eustice/camborne_and_redruth
24721,Chris Evans,Chris,Evans,Labour/Co-operative,Islwyn,https://www.theyworkforyou.com/mp/24721/chris_evans/islwyn
10190,Nigel Evans,Nigel,Evans,Conservative,Ribble Valley,https://www.theyworkforyou.com/mp/10190/nigel_evans/ribble_valley
11408,David Evennett,David,Evennett,Conservative,Bexleyheath and Crayford,https://www.theyworkforyou.com/mp/11408/david_evennett/bexleyheath_and_crayford
10193,Michael Fabricant,Michael,Fabricant,Conservative,Lichfield,https://www.theyworkforyou.com/mp/10193/michael_fabricant/lichfield
10194,Michael Fallon,Michael,Fallon,Conservative,Sevenoaks,https://www.theyworkforyou.com/mp/10194/michael_fallon/sevenoaks
10882,Paul Farrelly,Paul,Farrelly,Labour,Newcastle-under-Lyme,https://www.theyworkforyou.com/mp/10882/paul_farrelly/newcastle-under-lyme
11923,Tim Farron,Tim,Farron,Liberal Democrat,Westmorland and Lonsdale,https://www.theyworkforyou.com/mp/11923/tim_farron/westmorland_and_lonsdale
25277,Marion Fellows,Marion,Fellows,Scottish National Party,Motherwell and Wishaw,https://www.theyworkforyou.com/mp/25277/marion_fellows/motherwell_and_wishaw
10197,Frank Field,Frank,Field,Independent,Birkenhead,https://www.theyworkforyou.com/mp/10197/frank_field/birkenhead
10884,Mark Field,Mark,Field,Conservative,Cities of London and Westminster,https://www.theyworkforyou.com/mp/10884/mark_field/cities_of_london_and_westminster
10199,Jim Fitzpatrick,Jim,Fitzpatrick,Labour,Poplar and Limehouse,https://www.theyworkforyou.com/mp/10199/jim_fitzpatrick/poplar_and_limehouse
25319,Colleen Fletcher,Colleen,Fletcher,Labour,Coventry North East,https://www.theyworkforyou.com/mp/25319/colleen_fletcher/coventry_north_east
10202,Caroline Flint,Caroline,Flint,Labour,Don Valley,https://www.theyworkforyou.com/mp/10202/caroline_flint/don_valley
25614,Vicky Ford,Vicky,Ford,Conservative,Chelmsford,https://www.theyworkforyou.com/mp/25614/vicky_ford/chelmsford
25338,Kevin Foster,Kevin,Foster,Conservative,Torbay,https://www.theyworkforyou.com/mp/25338/kevin_foster/torbay
24805,Yvonne Fovargue,Yvonne,Fovargue,Labour,Makerfield,https://www.theyworkforyou.com/mp/24805/yvonne_fovargue/makerfield
10213,Liam Fox,Liam,Fox,Conservative,North Somerset,https://www.theyworkforyou.com/mp/10213/liam_fox/north_somerset
25380,Vicky Foxcroft,Vicky,Foxcroft,Labour,"Lewisham, Deptford",https://www.theyworkforyou.com/mp/25380/vicky_foxcroft/lewisham%2C_deptford
10901,Mark Francois,Mark,Francois,Conservative,Rayleigh and Wickford,https://www.theyworkforyou.com/mp/10901/mark_francois/rayleigh_and_wickford
25399,Lucy Frazer,Lucy,Frazer,Conservative,South East Cambridgeshire,https://www.theyworkforyou.com/mp/25399/lucy_frazer/south_east_cambridgeshire
24817,George Freeman,George,Freeman,Conservative,Mid Norfolk,https://www.theyworkforyou.com/mp/24817/george_freeman/mid_norfolk
24934,Mike Freer,Mike,Freer,Conservative,Finchley and Golders Green,https://www.theyworkforyou.com/mp/24934/mike_freer/finchley_and_golders_green
25622,James Frith,James,Frith,Labour,Bury North,https://www.theyworkforyou.com/mp/25622/james_frith/bury_north
